id,placeholder1,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,DD_0,DD5,DD_18,DD18,Eref,CMD
24065,.,-8.7089,32.262899,.,20.9,23.5,18.4,5.2,1117,0,5718,154,1169,2020,1074
24066,.,-3.111907,33.77277,.,22.5,24.2,21,3.3,917,0,6282,70,1663,2063,1247
24067,.,-2.598848,30.587112,.,21,22.6,19.8,2.8,1205,0,5764,134,1189,1944,889
24068,.,-7.169421,37.576362,.,21.1,22.8,19.5,3.3,1148,0,5785,130,1212,1900,1010
24069,.,-11.005775,37.487496,.,24.8,27.1,22.2,5,984,0,7095,31,2445,2157,1351
24070,.,-3.226452,37.213665,.,21.2,23.1,18.7,4.4,1685,0,5833,134,1274,2035,1023
24071,.,-4.896474,35.63331,.,22,23.7,19.7,4,809,0,6108,94,1515,2118,1464
24072,.,-9.241635,33.52306,.,21,23.3,17.9,5.4,1112,0,5742,160,1201,2050,1109
24073,.,-7.512282,36.101559,.,20.4,22.1,18.4,3.7,932,0,5520,182,988,1953,1225
24074,.,-5.076621,30.676516,.,23.2,25.4,21.7,3.7,1019,0,6542,53,1920,2082,1095
24075,.,-7.290174,39.210596,.,26.5,28.1,24.8,3.2,1238,0,7699,13,3043,1963,989
24076,.,-5.241335,32.723778,.,23.7,26.2,21.9,4.3,871,0,6702,44,2069,2195,1374
24077,.,-5.241335,32.723778,.,23.7,26.2,21.9,4.3,871,0,6702,44,2069,2195,1374
24078,.,-3.912616,34.758765,.,24,26.1,21.9,4.2,746,0,6841,37,2199,2152,1439
24079,.,-5.843553,35.963128,.,21.8,23.7,19.6,4.1,843,0,6046,100,1458,2082,1433
24080,.,-8.119428,35.717141,.,18.4,20.2,16.2,4,830,0,4821,400,535,1861,1142
24081,.,-3.617599,33.542168,.,23.2,25.1,21.7,3.5,899,0,6524,53,1901,2103,1262
24082,.,-3.617599,33.542168,.,23.2,25.1,21.7,3.5,899,0,6524,53,1901,2103,1262
24083,.,-4.990456,32.820974,.,23.3,25.7,21.6,4.1,909,0,6578,50,1953,2146,1292
24084,.,-4.579074,35.524792,.,20.7,22.3,18.6,3.7,920,0,5643,160,1091,2069,1348
24085,.,-4.44718,33.260241,.,23.1,25.3,21.5,3.8,861,0,6508,54,1886,2140,1329
24086,.,-4.57998,32.623994,.,23.2,25.5,21.8,3.7,923,0,6556,51,1931,2135,1262
24087,.,-3.866089,33.994448,.,23.8,25.8,22.1,3.7,847,0,6747,41,2113,2166,1374
24088,.,-3.364677,37.04618,.,23.4,25.3,21,4.3,1228,0,6616,53,1982,2140,1304
24089,.,-3.364677,37.04618,.,23.4,25.3,21,4.3,1228,0,6616,53,1982,2140,1304
24090,.,-3.364677,37.04618,.,23.4,25.3,21,4.3,1228,0,6616,53,1982,2140,1304
24091,.,-3.184448,36.71383,.,16.8,18.1,15.3,2.8,1094,0,4254,688,279,1783,907
