id,placeholder1,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,DD_0,DD5,DD_18,DD18,Eref,CMD
76,.,5.315248,7.433435,.,26.9,28.6,25.1,3.4,2079,0,7862,11,3200,1862,520
77,.,9.681996,11.826951,.,28.6,33.2,25.8,7.4,783,0,8453,7,3767,2202,1454
78,.,9.681996,11.826951,.,28.6,33.2,25.8,7.4,783,0,8453,7,3767,2202,1454
79,.,9.681996,11.826951,.,28.6,33.2,25.8,7.4,783,0,8453,7,3767,2202,1454
80,.,9.681996,11.826951,.,28.6,33.2,25.8,7.4,783,0,8453,7,3767,2202,1454
81,.,9.681996,11.826951,.,28.6,33.2,25.8,7.4,783,0,8453,7,3767,2202,1454
82,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
83,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
84,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
85,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
86,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
87,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
88,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
89,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
90,.,9.356681,12.173164,.,28.8,33.6,26.1,7.5,723,0,8547,6,3859,2209,1508
91,.,9.332879,11.781968,.,28.8,33.7,26.1,7.6,777,0,8530,7,3843,2190,1457
92,.,9.332879,11.781968,.,28.8,33.7,26.1,7.6,777,0,8530,7,3843,2190,1457
93,.,9.332879,11.781968,.,28.8,33.7,26.1,7.6,777,0,8530,7,3843,2190,1457
94,.,9.332879,11.781968,.,28.8,33.7,26.1,7.6,777,0,8530,7,3843,2190,1457
95,.,8.30267,12.044434,.,26.5,30.5,24.5,6,1045,0,7715,15,3042,2066,1130
96,.,8.30267,12.044434,.,26.5,30.5,24.5,6,1045,0,7715,15,3042,2066,1130
97,.,8.30267,12.044434,.,26.5,30.5,24.5,6,1045,0,7715,15,3042,2066,1130
98,.,8.30267,12.044434,.,26.5,30.5,24.5,6,1045,0,7715,15,3042,2066,1130
99,.,8.30267,12.044434,.,26.5,30.5,24.5,6,1045,0,7715,15,3042,2066,1130
100,.,8.959371,12.154314,.,28.1,32.7,25.7,7.1,857,0,8282,9,3601,2153,1365
101,.,8.959371,12.154314,.,28.1,32.7,25.7,7.1,857,0,8282,9,3601,2153,1365
102,.,8.959371,12.154314,.,28.1,32.7,25.7,7.1,857,0,8282,9,3601,2153,1365
103,.,8.959371,12.154314,.,28.1,32.7,25.7,7.1,857,0,8282,9,3601,2153,1365
104,.,8.959371,12.154314,.,28.1,32.7,25.7,7.1,857,0,8282,9,3601,2153,1365
105,.,8.959371,12.154314,.,28.1,32.7,25.7,7.1,857,0,8282,9,3601,2153,1365
106,.,8.959371,12.154314,.,28.1,32.7,25.7,7.1,857,0,8282,9,3601,2153,1365
107,.,8.959371,12.154314,.,28.1,32.7,25.7,7.1,857,0,8282,9,3601,2153,1365
108,.,10.702117,13.441747,.,27.8,32.3,23.2,9,727,0,8188,13,3499,2289,1671
109,.,10.702117,13.441747,.,27.8,32.3,23.2,9,727,0,8188,13,3499,2289,1671
110,.,10.702117,13.441747,.,27.8,32.3,23.2,9,727,0,8188,13,3499,2289,1671
111,.,10.702117,13.441747,.,27.8,32.3,23.2,9,727,0,8188,13,3499,2289,1671
112,.,10.271072,13.30773,.,27,31.4,23,8.4,721,0,7916,16,3237,2243,1607
113,.,10.271072,13.30773,.,27,31.4,23,8.4,721,0,7916,16,3237,2243,1607
114,.,10.271072,13.30773,.,27,31.4,23,8.4,721,0,7916,16,3237,2243,1607
115,.,10.268674,13.23861,.,27.3,31.8,23.4,8.4,723,0,7998,15,3313,2245,1615
116,.,10.268674,13.23861,.,27.3,31.8,23.4,8.4,723,0,7998,15,3313,2245,1615
117,.,10.268674,13.23861,.,27.3,31.8,23.4,8.4,723,0,7998,15,3313,2245,1615
118,.,10.268674,13.23861,.,27.3,31.8,23.4,8.4,723,0,7998,15,3313,2245,1615
119,.,10.283291,12.887047,.,27.4,32,23.5,8.4,720,0,8038,14,3353,2245,1591
120,.,10.283291,12.887047,.,27.4,32,23.5,8.4,720,0,8038,14,3353,2245,1591
121,.,10.283291,12.887047,.,27.4,32,23.5,8.4,720,0,8038,14,3353,2245,1591
122,.,10.283291,12.887047,.,27.4,32,23.5,8.4,720,0,8038,14,3353,2245,1591
123,.,10.283291,12.887047,.,27.4,32,23.5,8.4,720,0,8038,14,3353,2245,1591
124,.,10.283291,12.887047,.,27.4,32,23.5,8.4,720,0,8038,14,3353,2245,1591
125,.,10.194152,12.456068,.,27.7,32.3,24.1,8.2,801,0,8140,12,3453,2213,1513
126,.,10.194152,12.456068,.,27.7,32.3,24.1,8.2,801,0,8140,12,3453,2213,1513
127,.,10.194152,12.456068,.,27.7,32.3,24.1,8.2,801,0,8140,12,3453,2213,1513
128,.,10.194152,12.456068,.,27.7,32.3,24.1,8.2,801,0,8140,12,3453,2213,1513
129,.,9.692965,12.639584,.,28.9,33.5,25.6,7.9,717,0,8576,6,3885,2294,1603
130,.,9.692965,12.639584,.,28.9,33.5,25.6,7.9,717,0,8576,6,3885,2294,1603
131,.,9.692965,12.639584,.,28.9,33.5,25.6,7.9,717,0,8576,6,3885,2294,1603
132,.,5.01159,7.949626,.,27.1,28.7,25.3,3.3,2363,0,7916,10,3253,1806,443
133,.,5.01159,7.949626,.,27.1,28.7,25.3,3.3,2363,0,7916,10,3253,1806,443
134,.,4.934476,7.967329,.,27,28.6,25.3,3.3,2380,0,7904,10,3241,1797,419
135,.,4.934476,7.967329,.,27,28.6,25.3,3.3,2380,0,7904,10,3241,1797,419
136,.,4.934476,7.967329,.,27,28.6,25.3,3.3,2380,0,7904,10,3241,1797,419
137,.,4.864651,7.849949,.,27.1,28.5,25.3,3.2,2420,0,7916,10,3253,1802,414
138,.,4.921115,8.026852,.,27.1,28.7,25.4,3.3,2546,0,7924,10,3260,1794,422
139,.,4.921115,8.026852,.,27.1,28.7,25.4,3.3,2546,0,7924,10,3260,1794,422
140,.,4.688179,7.708755,.,27,28.5,25.2,3.2,2485,0,7891,10,3229,1787,400
141,.,4.947915,7.758319,.,27.1,28.6,25.3,3.3,2364,0,7913,10,3250,1824,438
142,.,4.947915,7.758319,.,27.1,28.6,25.3,3.3,2364,0,7913,10,3250,1824,438
143,.,4.947915,7.758319,.,27.1,28.6,25.3,3.3,2364,0,7913,10,3250,1824,438
144,.,5.088583,7.738587,.,27,28.5,25.2,3.3,2226,0,7886,11,3223,1828,480
145,.,5.088583,7.738587,.,27,28.5,25.2,3.3,2226,0,7886,11,3223,1828,480
146,.,5.088583,7.738587,.,27,28.5,25.2,3.3,2226,0,7886,11,3223,1828,480
147,.,5.088583,7.738587,.,27,28.5,25.2,3.3,2226,0,7886,11,3223,1828,480
148,.,5.088583,7.738587,.,27,28.5,25.2,3.3,2226,0,7886,11,3223,1828,480
149,.,6.16779,7.006689,.,27.2,29.4,25.2,4.2,1896,0,7958,10,3294,1899,649
150,.,6.16779,7.006689,.,27.2,29.4,25.2,4.2,1896,0,7958,10,3294,1899,649
151,.,6.16779,7.006689,.,27.2,29.4,25.2,4.2,1896,0,7958,10,3294,1899,649
152,.,6.294877,7.064169,.,27.6,30.1,25.7,4.4,1894,0,8119,8,3452,1971,744
153,.,6.294877,7.064169,.,27.6,30.1,25.7,4.4,1894,0,8119,8,3452,1971,744
154,.,6.294877,7.064169,.,27.6,30.1,25.7,4.4,1894,0,8119,8,3452,1971,744
155,.,6.313164,6.965161,.,27.7,30.1,25.7,4.4,1853,0,8127,8,3461,1949,725
156,.,6.313164,6.965161,.,27.7,30.1,25.7,4.4,1853,0,8127,8,3461,1949,725
157,.,6.313164,6.965161,.,27.7,30.1,25.7,4.4,1853,0,8127,8,3461,1949,725
158,.,6.313164,6.965161,.,27.7,30.1,25.7,4.4,1853,0,8127,8,3461,1949,725
159,.,6.313164,6.965161,.,27.7,30.1,25.7,4.4,1853,0,8127,8,3461,1949,725
160,.,6.101378,7.189887,.,27.5,29.7,25.6,4.1,2026,0,8064,9,3398,1951,661
161,.,6.101378,7.189887,.,27.5,29.7,25.6,4.1,2026,0,8064,9,3398,1951,661
162,.,6.101378,7.189887,.,27.5,29.7,25.6,4.1,2026,0,8064,9,3398,1951,661
163,.,6.101378,7.189887,.,27.5,29.7,25.6,4.1,2026,0,8064,9,3398,1951,661
164,.,6.101378,7.189887,.,27.5,29.7,25.6,4.1,2026,0,8064,9,3398,1951,661
165,.,6.004201,7.057122,.,26.3,28.5,24.3,4.2,1947,0,7648,15,2989,1858,600
166,.,6.004201,7.057122,.,26.3,28.5,24.3,4.2,1947,0,7648,15,2989,1858,600
167,.,6.004201,7.057122,.,26.3,28.5,24.3,4.2,1947,0,7648,15,2989,1858,600
168,.,6.553322,7.02906,.,27.8,30.5,25.7,4.8,1931,0,8174,8,3507,1989,804
169,.,6.553322,7.02906,.,27.8,30.5,25.7,4.8,1931,0,8174,8,3507,1989,804
170,.,6.553322,7.02906,.,27.8,30.5,25.7,4.8,1931,0,8174,8,3507,1989,804
171,.,6.553322,7.02906,.,27.8,30.5,25.7,4.8,1931,0,8174,8,3507,1989,804
172,.,6.553322,7.02906,.,27.8,30.5,25.7,4.8,1931,0,8174,8,3507,1989,804
173,.,6.553322,7.02906,.,27.8,30.5,25.7,4.8,1931,0,8174,8,3507,1989,804
174,.,6.130809,6.952686,.,27.1,29.3,25.1,4.2,1923,0,7922,11,3258,1904,642
175,.,6.130809,6.952686,.,27.1,29.3,25.1,4.2,1923,0,7922,11,3258,1904,642
176,.,6.130809,6.952686,.,27.1,29.3,25.1,4.2,1923,0,7922,11,3258,1904,642
177,.,6.130809,6.952686,.,27.1,29.3,25.1,4.2,1923,0,7922,11,3258,1904,642
178,.,6.124536,6.949624,.,27.1,29.3,25,4.2,1934,0,7922,11,3259,1906,642
179,.,6.124536,6.949624,.,27.1,29.3,25,4.2,1934,0,7922,11,3259,1906,642
180,.,6.124536,6.949624,.,27.1,29.3,25,4.2,1934,0,7922,11,3259,1906,642
181,.,6.025578,7.028515,.,26.2,28.2,24.2,4,1983,0,7591,16,2933,1859,600
182,.,6.025578,7.028515,.,26.2,28.2,24.2,4,1983,0,7591,16,2933,1859,600
183,.,6.025578,7.028515,.,26.2,28.2,24.2,4,1983,0,7591,16,2933,1859,600
184,.,6.025578,7.028515,.,26.2,28.2,24.2,4,1983,0,7591,16,2933,1859,600
185,.,6.241538,6.936828,.,27.4,29.6,25.4,4.3,1861,0,8031,9,3366,1916,674
186,.,6.241538,6.936828,.,27.4,29.6,25.4,4.3,1861,0,8031,9,3366,1916,674
187,.,6.241538,6.936828,.,27.4,29.6,25.4,4.3,1861,0,8031,9,3366,1916,674
188,.,5.98776,7.091835,.,26.6,28.8,24.6,4.2,1942,0,7755,13,3094,1868,603
189,.,5.98776,7.091835,.,26.6,28.8,24.6,4.2,1942,0,7755,13,3094,1868,603
190,.,5.98776,7.091835,.,26.6,28.8,24.6,4.2,1942,0,7755,13,3094,1868,603
191,.,5.98776,7.091835,.,26.6,28.8,24.6,4.2,1942,0,7755,13,3094,1868,603
192,.,5.98776,7.091835,.,26.6,28.8,24.6,4.2,1942,0,7755,13,3094,1868,603
193,.,5.98776,7.091835,.,26.6,28.8,24.6,4.2,1942,0,7755,13,3094,1868,603
194,.,10.074662,9.60864,.,26.4,30.7,23.8,6.9,1058,0,7694,18,3018,2137,1323
195,.,10.074662,9.60864,.,26.4,30.7,23.8,6.9,1058,0,7694,18,3018,2137,1323
196,.,10.074662,9.60864,.,26.4,30.7,23.8,6.9,1058,0,7694,18,3018,2137,1323
197,.,10.074662,9.60864,.,26.4,30.7,23.8,6.9,1058,0,7694,18,3018,2137,1323
198,.,10.074662,9.60864,.,26.4,30.7,23.8,6.9,1058,0,7694,18,3018,2137,1323
199,.,10.074662,9.60864,.,26.4,30.7,23.8,6.9,1058,0,7694,18,3018,2137,1323
200,.,10.074662,9.60864,.,26.4,30.7,23.8,6.9,1058,0,7694,18,3018,2137,1323
201,.,10.304397,9.84683,.,26.5,30.9,23.8,7.1,1005,0,7728,18,3050,2125,1351
202,.,10.304397,9.84683,.,26.5,30.9,23.8,7.1,1005,0,7728,18,3050,2125,1351
203,.,10.777027,9.172612,.,26.5,30.8,23.5,7.3,995,0,7723,19,3051,2148,1370
204,.,10.777027,9.172612,.,26.5,30.8,23.5,7.3,995,0,7723,19,3051,2148,1370
205,.,10.777027,9.172612,.,26.5,30.8,23.5,7.3,995,0,7723,19,3051,2148,1370
206,.,10.777027,9.172612,.,26.5,30.8,23.5,7.3,995,0,7723,19,3051,2148,1370
207,.,10.777027,9.172612,.,26.5,30.8,23.5,7.3,995,0,7723,19,3051,2148,1370
208,.,10.777027,9.172612,.,26.5,30.8,23.5,7.3,995,0,7723,19,3051,2148,1370
209,.,10.777027,9.172612,.,26.5,30.8,23.5,7.3,995,0,7723,19,3051,2148,1370
210,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
211,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
212,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
213,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
214,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
215,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
216,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
217,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
218,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
219,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
220,.,10.237417,10.131667,.,27.2,31.7,24.4,7.3,974,0,7969,14,3285,2176,1383
221,.,10.654603,10.473764,.,28.1,32.4,24.5,7.9,890,0,8275,10,3584,2263,1511
222,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
223,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
224,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
225,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
226,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
227,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
228,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
229,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
230,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
231,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
232,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
233,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
234,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
235,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
236,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
237,.,9.822823,10.900788,.,27.8,32.3,24.9,7.4,874,0,8165,10,3483,2176,1380
238,.,10.907719,10.024638,.,27.3,31.7,23.9,7.7,923,0,8004,14,3319,2201,1452
239,.,10.907719,10.024638,.,27.3,31.7,23.9,7.7,923,0,8004,14,3319,2201,1452
240,.,10.907719,10.024638,.,27.3,31.7,23.9,7.7,923,0,8004,14,3319,2201,1452
241,.,10.907719,10.024638,.,27.3,31.7,23.9,7.7,923,0,8004,14,3319,2201,1452
242,.,10.907719,10.024638,.,27.3,31.7,23.9,7.7,923,0,8004,14,3319,2201,1452
243,.,10.907719,10.024638,.,27.3,31.7,23.9,7.7,923,0,8004,14,3319,2201,1452
244,.,10.854792,9.805784,.,27,31.3,23.9,7.4,932,0,7905,15,3227,2185,1422
245,.,10.854792,9.805784,.,27,31.3,23.9,7.4,932,0,7905,15,3227,2185,1422
246,.,10.854792,9.805784,.,27,31.3,23.9,7.4,932,0,7905,15,3227,2185,1422
247,.,10.854792,9.805784,.,27,31.3,23.9,7.4,932,0,7905,15,3227,2185,1422
248,.,10.854792,9.805784,.,27,31.3,23.9,7.4,932,0,7905,15,3227,2185,1422
249,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
250,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
251,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
252,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
253,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
254,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
255,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
256,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
257,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
258,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
259,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
260,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
261,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
262,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
263,.,10.366982,9.502707,.,26.4,30.8,23.5,7.3,1020,0,7673,19,3001,2112,1337
264,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
265,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
266,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
267,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
268,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
269,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
270,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
271,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
272,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
273,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
274,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
275,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
276,.,10.286225,9.637663,.,26,30.5,23.4,7.1,1054,0,7548,21,2881,2088,1311
277,.,11.09527,13.711587,.,27.6,32.1,22.7,9.4,683,0,8117,16,3433,2265,1697
278,.,11.09527,13.711587,.,27.6,32.1,22.7,9.4,683,0,8117,16,3433,2265,1697
279,.,11.09527,13.711587,.,27.6,32.1,22.7,9.4,683,0,8117,16,3433,2265,1697
280,.,11.09527,13.711587,.,27.6,32.1,22.7,9.4,683,0,8117,16,3433,2265,1697
281,.,11.157418,13.42463,.,28.3,32.9,23.3,9.6,608,0,8361,12,3666,2334,1793
282,.,11.157418,13.42463,.,28.3,32.9,23.3,9.6,608,0,8361,12,3666,2334,1793
283,.,11.157418,13.42463,.,28.3,32.9,23.3,9.6,608,0,8361,12,3666,2334,1793
284,.,11.157418,13.42463,.,28.3,32.9,23.3,9.6,608,0,8361,12,3666,2334,1793
285,.,11.157418,13.42463,.,28.3,32.9,23.3,9.6,608,0,8361,12,3666,2334,1793
286,.,11.157418,13.42463,.,28.3,32.9,23.3,9.6,608,0,8361,12,3666,2334,1793
287,.,11.157418,13.42463,.,28.3,32.9,23.3,9.6,608,0,8361,12,3666,2334,1793
288,.,10.739463,13.260101,.,27.9,32.6,23.4,9.2,697,0,8230,12,3539,2273,1673
289,.,10.739463,13.260101,.,27.9,32.6,23.4,9.2,697,0,8230,12,3539,2273,1673
290,.,10.48465,12.356298,.,27.2,31.4,23.4,8,792,0,7959,15,3275,2191,1477
291,.,10.48465,12.356298,.,27.2,31.4,23.4,8,792,0,7959,15,3275,2191,1477
292,.,10.48465,12.356298,.,27.2,31.4,23.4,8,792,0,7959,15,3275,2191,1477
293,.,10.48465,12.356298,.,27.2,31.4,23.4,8,792,0,7959,15,3275,2191,1477
294,.,10.48465,12.356298,.,27.2,31.4,23.4,8,792,0,7959,15,3275,2191,1477
295,.,10.48465,12.356298,.,27.2,31.4,23.4,8,792,0,7959,15,3275,2191,1477
296,.,10.48465,12.356298,.,27.2,31.4,23.4,8,792,0,7959,15,3275,2191,1477
297,.,10.577058,12.176465,.,26.1,30.2,22,8.2,822,0,7562,25,2894,2179,1449
298,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
299,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
300,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
301,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
302,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
303,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
304,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
305,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
306,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
307,.,10.27729,12.202428,.,28.6,33,25.1,7.9,846,0,8452,8,3761,2293,1525
308,.,11.103398,12.310867,.,27.6,32.4,22.8,9.6,688,0,8127,15,3442,2257,1643
309,.,10.980666,12.972347,.,28,32.6,23.2,9.4,675,0,8255,13,3562,2278,1676
310,.,10.980666,12.972347,.,28,32.6,23.2,9.4,675,0,8255,13,3562,2278,1676
311,.,10.980666,12.972347,.,28,32.6,23.2,9.4,675,0,8255,13,3562,2278,1676
312,.,10.980666,12.972347,.,28,32.6,23.2,9.4,675,0,8255,13,3562,2278,1676
313,.,10.980666,12.972347,.,28,32.6,23.2,9.4,675,0,8255,13,3562,2278,1676
314,.,10.980666,12.972347,.,28,32.6,23.2,9.4,675,0,8255,13,3562,2278,1676
315,.,11.064397,12.713302,.,28,32.7,23.1,9.6,670,0,8247,13,3554,2287,1683
316,.,11.064397,12.713302,.,28,32.7,23.1,9.6,670,0,8247,13,3554,2287,1683
317,.,11.064397,12.713302,.,28,32.7,23.1,9.6,670,0,8247,13,3554,2287,1683
318,.,11.064397,12.713302,.,28,32.7,23.1,9.6,670,0,8247,13,3554,2287,1683
319,.,11.064397,12.713302,.,28,32.7,23.1,9.6,670,0,8247,13,3554,2287,1683
320,.,12.671809,13.630725,.,29,34.1,23.2,10.9,407,0,8616,11,3919,2426,2025
321,.,6.443056,6.583245,.,27.6,30,25.8,4.3,1763,0,8095,9,3428,1935,732
322,.,6.135087,6.279515,.,27,29.2,25,4.2,1814,0,7902,11,3240,1934,686
323,.,10.296062,11.185123,.,27.6,32.3,24.2,8.1,838,0,8129,12,3442,2206,1469
324,.,10.296062,11.185123,.,27.6,32.3,24.2,8.1,838,0,8129,12,3442,2206,1469
325,.,10.483945,11.396633,.,28.7,33.4,25,8.3,763,0,8508,8,3814,2289,1580
326,.,10.483945,11.396633,.,28.7,33.4,25,8.3,763,0,8508,8,3814,2289,1580
327,.,10.158195,11.469376,.,28.5,33.2,25,8.3,760,0,8446,8,3751,2249,1524
328,.,10.158195,11.469376,.,28.5,33.2,25,8.3,760,0,8446,8,3751,2249,1524
329,.,10.158195,11.469376,.,28.5,33.2,25,8.3,760,0,8446,8,3751,2249,1524
330,.,10.158195,11.469376,.,28.5,33.2,25,8.3,760,0,8446,8,3751,2249,1524
331,.,10.158195,11.469376,.,28.5,33.2,25,8.3,760,0,8446,8,3751,2249,1524
332,.,9.917938,11.689417,.,27.6,32.4,24.7,7.8,883,0,8128,11,3441,2171,1397
333,.,9.917938,11.689417,.,27.6,32.4,24.7,7.8,883,0,8128,11,3441,2171,1397
334,.,9.917938,11.689417,.,27.6,32.4,24.7,7.8,883,0,8128,11,3441,2171,1397
335,.,9.917938,11.689417,.,27.6,32.4,24.7,7.8,883,0,8128,11,3441,2171,1397
336,.,9.917938,11.689417,.,27.6,32.4,24.7,7.8,883,0,8128,11,3441,2171,1397
337,.,9.917938,11.689417,.,27.6,32.4,24.7,7.8,883,0,8128,11,3441,2171,1397
338,.,9.917938,11.689417,.,27.6,32.4,24.7,7.8,883,0,8128,11,3441,2171,1397
339,.,9.582909,11.18699,.,27.1,31.6,24.4,7.2,974,0,7943,13,3264,2142,1275
340,.,9.582909,11.18699,.,27.1,31.6,24.4,7.2,974,0,7943,13,3264,2142,1275
341,.,9.582909,11.18699,.,27.1,31.6,24.4,7.2,974,0,7943,13,3264,2142,1275
342,.,9.582909,11.18699,.,27.1,31.6,24.4,7.2,974,0,7943,13,3264,2142,1275
343,.,9.582909,11.18699,.,27.1,31.6,24.4,7.2,974,0,7943,13,3264,2142,1275
344,.,9.582909,11.18699,.,27.1,31.6,24.4,7.2,974,0,7943,13,3264,2142,1275
