id,Lat,Lon,HarvestYear,Source,YieldTonHa,MWMT,MCMT,MAT,MAP,Potassium_g_kg_0-20_m,Nitrogen_g_kg_0-20_m,Phosphorus_g_kg_0-20_m,OrganicCarbon_g_kg_0-20_m,irr
57101,-13.9666666666667,33.65,2017,Corbeels2020,3.247,24.2,18.0,21.4,910,47,75,22,26,0.0
57103,-13.9666666666667,33.65,2017,Corbeels2020,3.247,24.2,18.0,21.4,910,47,75,22,26,0.0
57105,-13.9666666666667,33.65,2017,Corbeels2020,3.247,24.2,18.0,21.4,910,47,75,22,26,0.0
57827,-13.9666666666667,33.65,2017,Corbeels2020,5.584,24.2,18.0,21.4,910,47,75,22,26,0.0
57829,-13.9666666666667,33.65,2017,Corbeels2020,8.247,24.2,18.0,21.4,910,47,75,22,26,0.0
57831,-13.9666666666667,33.65,2017,Corbeels2020,5.877,24.2,18.0,21.4,910,47,75,22,26,0.0
57959,-1.9102055,30.5046693,2017,Niche_trial,5.587301587,21.8,19.3,20.6,1108,51,92,22,27,0.0
57960,-1.9102055,30.5046693,2017,Niche_trial,5.663492063,21.8,19.3,20.6,1108,51,92,22,27,0.0
57961,-1.9102055,30.5046693,2017,Niche_trial,6.196825397,21.8,19.3,20.6,1108,51,92,22,27,0.0
57962,-1.9102055,30.5046693,2017,Niche_trial,6.907936508,21.8,19.3,20.6,1108,51,92,22,27,0.0
57963,-1.9102055,30.5046693,2017,Niche_trial,5.587301587,21.8,19.3,20.6,1108,51,92,22,27,0.0
57964,-1.9102055,30.5046693,2017,Niche_trial,6.120634921,21.8,19.3,20.6,1108,51,92,22,27,0.0
57965,-1.9102055,30.5046693,2017,Niche_trial,6.450793651,21.8,19.3,20.6,1108,51,92,22,27,0.0
57966,-1.9102055,30.5046693,2017,Niche_trial,6.653968254,21.8,19.3,20.6,1108,51,92,22,27,0.0
57967,-1.9102055,30.5046693,2017,Niche_trial,5.282539683,21.8,19.3,20.6,1108,51,92,22,27,0.0
57968,-1.9102055,30.5046693,2017,Niche_trial,5.358730159,21.8,19.3,20.6,1108,51,92,22,27,0.0
57969,-1.9102055,30.5046693,2017,Niche_trial,5.765079365,21.8,19.3,20.6,1108,51,92,22,27,0.0
57970,-1.9102055,30.5046693,2017,Niche_trial,5.841269841,21.8,19.3,20.6,1108,51,92,22,27,0.0
57971,-1.9102055,30.5046693,2017,Niche_trial,5.663492063,21.8,19.3,20.6,1108,51,92,22,27,0.0
57972,-1.9102055,30.5046693,2017,Niche_trial,5.663492063,21.8,19.3,20.6,1108,51,92,22,27,0.0
57973,-1.9102055,30.5046693,2017,Niche_trial,5.79047619,21.8,19.3,20.6,1108,51,92,22,27,0.0
